ID,Area programa educativo,Titulo egresado
1,Administración,ADMINISTRADOR(A) DE EMPRESAS
2,Antropología y  artes liberales,ANTROPOLOGO(A)
3,Arquitectura,ARQUITECTO(A)
4,Artes plásticas visuales y afines,MAESTRO EN ARTES PLASTICAS
5,Biología microbiología y afines,BIOLOGO(A)
6,Ciencia política relaciones internacionales,POLITÓLOGO (A)
7,Matemáticas estadística y afines,CIENTÍFICO(A) DE LA COMPUTACIÓN
8,Artes plásticas visuales y afines,REALIZADOR(A) DE CINE Y TELEVISION
9,Contaduría pública,CONTADOR(A) PUBLICO(A)
10,Derecho y afines,ABOGADO(A)
11,Diseño,DISEÑADOR(A) GRAFICO
12,Diseño,DISEÑADOR(A) INDUSTRIAL
13,Economía,ECONOMISTA
14,Enfermería,ENFERMERO(A)
15,Lenguas modernas literatura linguística y afines,LICENCIADO EN ESPAÑOL Y FILOLOGIA CLASICA
16,Matemáticas estadística y afines,ESTADISTICO(A)
17,Lenguas modernas literatura linguística y afines,PROFESIONAL EN ESTUDIOS LITERARIOS
18,Química y afines,QUIMICO(A) FARMACEUTICO(A)
19,Lenguas modernas literatura linguística y afines,LICENCIADO(A) EN FILOLOGIA E IDIOMAS
20,Filosofía teología y afines,FILOSOFO(A)
21,Física,FISICO(A)
22,Terapias,FISIOTERAPEUTA
23,Terapias,FONOAUDIOLOGO (A)
24,Geografía historia,GEOGRAFO (A)
25,Geología otros programas de ciencias naturales,GEOLOGO(A)
26,Geografía historia,HISTORIADOR(A)
27,Ingeniería agrícola forestal y afines,INGENIERO(A) AGRICOLA
28,Ingeniería agronómica pecuaria y afines,INGENIERO(A) AGRONOMO(A)
29,Ingeniería civil y afines,INGENIERO(A) CIVIL
30,Ingeniería de sistemas telemática y afines,INGENIERO(A) DE SISTEMAS Y COMPUTACION
31,Ingeniería eléctrica y afines,INGENIERO (A) ELECTRICISTA
32,Ingeniería electrónica telecomunicaciones y afines,INGENIERO(A) ELECTRONICO(A)
33,Ingeniería industrial y afines,INGENIERO(A) INDUSTRIAL
34,Ingeniería mecánica y afines,INGENIERO(A) MECANICO(A)
35,Ingeniería mecánica y afines,INGENIERO(A) MECATRONICO(A)
36,Ingeniería química y afines,INGENIERO(A) QUIMICO(A)
37,Lenguas modernas literatura linguística y afines,LINGUISTICA
38,Matemáticas estadística y afines,MATEMATICO(A)
39,Medicina,MEDICO(A) CIRUJANO(A)
40,Medicina veterinaria,MEDICO(A) VETERINARIO(A)
41,Música,MUSICO CON ENFASIS EN ...
42,Música,MUSICO INSTRUMENTALISTA CON ENFASIS EN...
43,Nutrición y dietética,NUTRICIONISTA-DIETISTA
44,Odontología,ODONTOLOGO(A)
45,Psicología,PSICOLOGO(A)
46,Química y afines,QUIMICO(A)
47,Sociología trabajo social y afines,SOCIOLOGO(A)
48,Terapias,TERAPEUTA OCUPACIONAL
49,Sociología trabajo social y afines,TRABAJADOR(A) SOCIAL
50,Zootecnia,ZOOTECNISTA
51,Administración,ADMINISTRADOR DE EMPRESAS
52,Administración,ADMINISTRADOR DE RIESGOS SEGURIDAD Y SALUD EN EL TRABAJO
53,Contaduría pública,CONTADOR PUBLICO
54,Derecho y afines,ABOGADO
55,Economía,ECONOMISTA
56,Medicina,MEDICO
57,Ingeniería civil y afines,INGENIERO CIVIL
58,Ingeniería mecánica y afines,INGENIERO EN MECATRONICA
59,Ingeniería de sistemas telemática y afines,INGENIERO EN MULTIMEDIA
60,Ingeniería electrónica telecomunicaciones y afines,INGENIERO EN TELECOMUNICACIONES
61,Ingeniería industrial y afines,INGENIERO INDUSTRIAL
62,Ciencia política relaciones internacionales,PROFESIONAL EN RELACIONES INTERNACIONALES Y ESTUDIOS POLITICOS
63,Administración,ADMINISTRADOR DE EMPRESAS COMERCIALES
64,Bacteriología,BACTERIOLOGO Y LABORATORISTA CLINICO
65,Arquitectura,CONSTRUCTOR Y GESTOR EN ARQUITECTURA
66,Derecho y afines,ABOGADO
67,Diseño,DISEÑADOR DIGITAL Y DE MULTIMEDIA
68,Economía,ECONOMISTA
69,Sociología trabajo social y afines,TRABAJADOR SOCIAL
